                   0              1              2              3              4              5              6              7
    0   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00
    1  -7.656598e-01  -1.169492e+00  -1.157874e+00  -1.155033e+00  -7.079905e-01  -6.272635e-01  -1.087676e+01   1.144472e+00
    2  -4.059106e-01   6.100809e-01   3.975210e-01  -7.957288e-01  -5.721472e+00  -1.333878e+02   2.898433e+03  -2.570185e+02
    3   2.003413e+00  -8.081960e+01  -2.819128e+01   1.782456e+02   9.441290e+02   3.133722e+04  -6.858065e+05   6.079911e+04
    4  -4.752552e+02   1.208613e+04   4.227240e+03  -3.839774e+04  -1.394502e+05  -6.725318e+06   1.481456e+08  -1.313100e+07
    5   7.121731e+04  -1.822217e+06  -6.405954e+05   7.788867e+06   2.090403e+07   1.377140e+09  -3.045490e+10   2.699080e+09
    6  -1.074241e+07   2.747976e+08   9.721557e+07  -1.537729e+09  -3.124310e+09  -2.734799e+11   6.063856e+12  -5.373702e+11
    7   1.620040e+09  -4.144096e+10  -1.477163e+10   2.977307e+11   4.661428e+11   5.317299e+13  -1.181198e+15   1.046704e+14
    8  -2.443279e+11   6.249734e+12   2.247837e+12  -5.683629e+13  -6.938830e+13  -1.018205e+16   2.264956e+17  -2.006980e+16
    9   3.685022e+13  -9.425632e+14  -3.426585e+14   1.073563e+16   1.029976e+16   1.927755e+18  -4.292623e+19   3.803585e+18
   10  -5.558166e+15   1.421609e+17   5.234227e+16  -2.011447e+18  -1.523511e+18  -3.618389e+20   8.063606e+21  -7.144790e+20
   11   8.384017e+17  -2.144246e+19  -8.014775e+18   3.744982e+20   2.243679e+20   6.746348e+22  -1.504356e+24   1.332917e+23
   12  -1.264760e+20   3.234439e+21   1.230698e+21  -6.937955e+22  -3.286057e+22  -1.251224e+25   2.791443e+26  -2.473289e+25
   13   1.908122e+22  -4.879318e+23  -1.895954e+23   1.280247e+25   4.778889e+24   2.310920e+27  -5.157596e+28   4.569709e+27
   14  -2.879088e+24   7.361436e+25   2.931805e+25  -2.354921e+27  -6.886774e+26  -4.253818e+29   9.496798e+30  -8.414230e+29
   15   4.344749e+26  -1.110754e+28  -4.553094e+27   4.320598e+29   9.805726e+28   7.809061e+31  -1.743841e+33   1.545044e+32
   16  -6.557642e+28   1.676236e+30   7.105438e+29  -7.910541e+31  -1.373670e+31  -1.430429e+34   3.194948e+35  -2.830709e+34
   17   9.899618e+30  -2.530040e+32  -1.114927e+32   1.445874e+34   1.881118e+33   2.615521e+36  -5.842900e+37   5.176756e+36
   18  -1.494839e+33   3.819523e+34   1.760086e+34  -2.639068e+36  -2.491637e+35  -4.775466e+38   1.066954e+40  -9.453075e+38
   19   2.257860e+35  -5.767644e+36  -2.797104e+36   4.811439e+38   3.131825e+37   8.708693e+40  -1.945951e+42   1.724082e+41
   20  -3.411543e+37   8.711977e+38   4.477212e+38  -8.763787e+40  -3.588740e+39  -1.586583e+43   3.545536e+44  -3.141281e+43
   21   5.156866e+39  -1.316405e+41  -7.221710e+40   1.595044e+43   3.355873e+41   2.888153e+45  -6.454648e+46   5.718689e+45
   22  -7.798981e+41   1.989974e+43   1.174288e+43  -2.901192e+45  -1.333270e+43  -5.253964e+47   1.174267e+49  -1.040375e+48
   23   1.180182e+44  -3.009723e+45  -1.925441e+45   5.274132e+47  -4.747283e+45   9.552431e+49  -2.135091e+51   1.891642e+50
   24  -1.787186e+46   4.554809e+47   3.183963e+47  -9.583763e+49   1.941135e+48  -1.735970e+52   3.880284e+53  -3.437838e+52
   25   2.708692e+48  -6.898103e+49  -5.309910e+49   1.740861e+52  -5.148726e+50   3.153597e+54  -7.049251e+55   6.245460e+54
   26  -4.109497e+50   1.045600e+52   8.929468e+51  -3.161275e+54   1.179214e+53  -5.727090e+56   1.280217e+58  -1.134239e+57
   27   6.242222e+52  -1.586534e+54  -1.513783e+54   5.739216e+56  -2.508567e+55   1.039798e+59  -2.324392e+60   2.059349e+59
   28  -9.495281e+54   2.410266e+56   2.586018e+56  -1.041726e+59   5.107103e+57  -1.887427e+61   4.219291e+62  -3.738178e+61
   29   1.446794e+57  -3.666997e+58  -4.449590e+58   1.890515e+61  -1.010251e+60   3.425420e+63  -7.657560e+64   6.784388e+63
   30  -2.208844e+59   5.588562e+60   7.707098e+60  -3.430404e+63   1.958807e+62  -6.215743e+65   1.389555e+67  -1.231107e+66
   31   3.380118e+61  -8.534247e+62  -1.343041e+63   6.223851e+65  -3.743263e+64   1.127765e+68  -2.521195e+69   2.233707e+68
   32  -5.186516e+63   1.306342e+65   2.353176e+65  -1.129095e+68   7.076165e+66  -2.045972e+70   4.573953e+71  -4.052393e+70
   33   7.983365e+65  -2.005145e+67  -4.143120e+67   2.048173e+70  -1.326618e+69   3.711453e+72  -8.297350e+73   7.351215e+72
   34  -1.233311e+68   3.087622e+69   7.325893e+69  -3.715126e+72   2.471134e+71  -6.732208e+74   1.505067e+76  -1.333446e+75
   35   1.913221e+70  -4.772040e+71  -1.300231e+72   6.738388e+74  -4.579770e+73   1.221084e+77  -2.729897e+78   2.418610e+77
   36  -2.982003e+72   7.406562e+73   2.315223e+74  -1.222132e+77   8.453539e+75  -2.214687e+79   4.951253e+80  -4.386666e+79
   37   4.672599e+74  -1.155071e+76  -4.134123e+76   2.216479e+79  -1.555348e+78   4.016627e+81  -8.979786e+82   7.955829e+81
   38  -7.365078e+76   1.811079e+78   7.399779e+78  -4.019712e+81   2.854182e+80  -7.284439e+83   1.628553e+85  -1.442851e+84
   39   1.168482e+79  -2.856698e+80  -1.327229e+81   7.289784e+83  -5.226540e+82   1.321048e+86  -2.953422e+87   2.616645e+86
   40  -1.866960e+81   4.535713e+82   2.384685e+83  -1.321980e+86   9.554235e+84  -2.395691e+88   5.355977e+89  -4.745239e+88
   41   3.005616e+83  -7.253060e+84  -4.290996e+85   2.397324e+88  -1.744067e+87   4.344449e+90  -9.712777e+91   8.605235e+90
   42  -4.877498e+85   1.168705e+87   7.730853e+87  -4.347325e+90   3.179994e+89  -7.878282e+92   1.761331e+94  -1.560487e+93
   43   7.981007e+87  -1.898329e+89  -1.394291e+90   7.883370e+92  -5.792619e+91   1.428639e+95  -3.193983e+96   2.829775e+95
   44  -1.317016e+90   3.109183e+91   2.516886e+92  -1.429543e+95   1.054343e+94  -2.590651e+97   5.791876e+98  -5.131431e+97
   45   2.191854e+92  -5.135689e+93  -4.546694e+94   2.592259e+97  -1.917818e+96   4.697762e+99 -1.050272e+101   9.305101e+99
   46  -3.678514e+94   8.555320e+95   8.218601e+96  -4.700635e+99   3.486583e+98 -8.518633e+101  1.904500e+103 -1.687331e+102
   47   6.223965e+96  -1.437158e+98  -1.486367e+99  8.523776e+101 -6.335777e+100  1.544707e+104 -3.453483e+105  3.059684e+104
   48  -1.061298e+99  2.433837e+100  2.689322e+101 -1.545629e+104  1.150907e+103 -2.801043e+106  6.262264e+107 -5.548181e+106
   49  1.822982e+101 -4.153679e+102 -4.867628e+103  2.802701e+106 -2.090011e+105  5.079157e+108 -1.135543e+110  1.006057e+109
   50 -3.152611e+103  7.140430e+104  8.812996e+105 -5.082140e+108  3.794437e+107 -9.210048e+110  2.059083e+112 -1.824286e+111
   51  5.485916e+105 -1.235750e+107 -1.596024e+108  9.215423e+110 -6.887399e+109  1.670055e+113 -3.733730e+114  3.307974e+113
   52 -9.599719e+107  2.151784e+109  2.890993e+110 -1.671025e+113  1.249936e+112 -3.028298e+115  6.770345e+116 -5.998325e+115
   53  1.688257e+110 -3.767623e+111 -5.237582e+112  3.030048e+115 -2.268076e+114  5.491178e+117 -1.227659e+119  1.087670e+118
   54 -2.982211e+112  6.629457e+113  9.490259e+114 -5.494340e+117  4.115054e+116 -9.957073e+119  2.226097e+121 -1.972256e+120
   55  5.288352e+114 -1.171602e+116 -1.719801e+117  9.962789e+119 -7.465353e+118  1.805499e+122 -4.036543e+123  3.576258e+122
   56 -9.409476e+116  2.078448e+118  3.116898e+119 -1.806533e+122  1.354220e+121 -3.273876e+124  7.319385e+125 -6.484759e+124
   57  1.679092e+119 -3.699451e+120 -5.649414e+121  3.275746e+124 -2.456396e+123  5.936449e+126 -1.327209e+128  1.175868e+127
   58 -3.003784e+121  6.603560e+122  1.024035e+124 -5.939834e+126  4.455359e+125 -1.076443e+129  2.406597e+130 -2.132174e+129
   59  5.385058e+123 -1.181640e+125 -1.856315e+126  1.077056e+129 -8.080654e+127  1.951887e+131 -4.363825e+132  3.866219e+131
   60 -9.671664e+125  2.118865e+127  3.365190e+128 -1.952998e+131  1.465525e+130 -3.539308e+133  7.912814e+134 -7.010519e+133
   61  1.739726e+128 -3.806236e+129 -6.100776e+130  3.541319e+133 -2.657820e+132  6.417735e+135 -1.434810e+137  1.271199e+136
   62 -3.133472e+130  6.847695e+131  1.106051e+133 -6.421379e+135  4.819992e+134 -1.163711e+138  2.601702e+139 -2.305031e+138
   63  5.649983e+132 -1.233524e+134 -2.005291e+135  1.164371e+138 -8.740919e+136  2.110125e+140 -4.717596e+141  4.179650e+140
   64 -1.019693e+135  2.224427e+136  3.635716e+137 -2.111321e+140  1.585111e+139 -3.826230e+142  8.554285e+143 -7.578843e+142
   65  1.841737e+137 -4.014962e+138 -6.591902e+139  3.828398e+142 -2.874456e+141  6.937995e+144 -1.551124e+146  1.374250e+145
   66 -3.328650e+139  7.252279e+140  1.195194e+142 -6.941925e+144  5.212498e+143 -1.258047e+147  2.812609e+148 -2.491888e+147
   67  6.019279e+141 -1.310822e+143 -2.167066e+144  1.258759e+147 -9.452168e+145  2.281180e+149 -5.100023e+150  4.518469e+149
   68 -1.088976e+144  2.370525e+145  3.929259e+146 -2.282471e+149  1.714009e+148 -4.136396e+151  9.247722e+152 -8.193208e+151
   69  1.970864e+146 -4.288826e+147 -7.124480e+148  4.138737e+151 -3.108075e+150  7.500406e+153 -1.676862e+155  1.485650e+154
   70 -3.568066e+148  7.762361e+149  1.291811e+151 -7.504649e+153  5.635950e+152 -1.360026e+156  3.040605e+157 -2.693886e+156
   71  6.461357e+150 -1.405349e+152 -2.342328e+153  1.360796e+156 -1.021976e+155  2.466095e+158 -5.513438e+159  4.884743e+158
   72 -1.170335e+153  2.544994e+154  4.247160e+155 -2.467490e+158  1.853157e+157 -4.471697e+160  9.997353e+161 -8.857359e+160
   73  2.120199e+155 -4.609811e+156 -7.701077e+157  4.474226e+160 -3.360332e+159  8.108394e+162 -1.812790e+164  1.606078e+163
   74 -3.841576e+157  8.351368e+158  1.396387e+160 -8.112980e+162  6.093277e+161 -1.470271e+165  3.287078e+166 -2.912254e+165
   75  6.961416e+159 -1.513203e+161 -2.531988e+162  1.471102e+165 -1.104889e+164  2.665998e+167 -5.960359e+168  5.280702e+167
   76 -1.261629e+162  2.742149e+163  4.591120e+164 -2.667505e+167  2.003482e+166 -4.834173e+169  1.080774e+171 -9.575337e+169
   77  2.286674e+164 -4.969697e+165 -8.324851e+166  4.836907e+169 -3.632883e+168  8.765661e+171 -1.959735e+173  1.736267e+172
   78 -4.144849e+166  9.007543e+167  1.509507e+169 -8.770616e+171  6.587442e+170 -1.589451e+174  3.553528e+175 -3.148320e+174
   79  7.513456e+168 -1.632729e+170 -2.737123e+171  1.590349e+174 -1.194488e+173  2.882103e+176 -6.443505e+177  5.708754e+176
