                   0              1              2              3              4              5              6              7
    0   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00   1.000000e+00
    1  -9.907353e-04  -4.805491e-02  -1.027660e-03   5.585306e-02  -2.637665e-02   1.000000e+00   7.721471e-01  -1.755978e-01
    2   4.366426e-03   1.338526e-01   2.723736e-02  -2.599440e-01   1.795965e-01  -6.244946e+00  -4.483600e+00   1.000000e+00
    3  -4.510958e-04  -1.478097e-02  -6.144590e-03   3.773547e-02  -2.873953e-02   1.000000e+00   7.088648e-01  -1.574583e-01
    4   2.337867e-03   7.940907e-02   4.314481e-02  -2.324074e-01   1.843646e-01  -6.393896e+00  -4.509350e+00   1.000000e+00
    5  -3.319925e-04  -1.149165e-02  -6.986732e-03   3.580358e-02  -2.886412e-02   1.000000e+00   7.038686e-01  -1.559909e-01
    6   2.042657e-03   7.132280e-02   4.546083e-02  -2.283455e-01   1.853163e-01  -6.417493e+00  -4.513427e+00   1.000000e+00
    7  -3.126328e-04  -1.095762e-02  -7.124065e-03   3.549003e-02  -2.888192e-02   1.000000e+00   7.030660e-01  -1.557552e-01
    8   1.992454e-03   6.994743e-02   4.585456e-02  -2.276548e-01   1.854795e-01  -6.421515e+00  -4.514122e+00   1.000000e+00
    9  -3.092962e-04  -1.086559e-02  -7.147736e-03   3.543599e-02  -2.888497e-02   1.000000e+00   7.029277e-01  -1.557146e-01
   10   1.983734e-03   6.970853e-02   4.592295e-02  -2.275349e-01   1.855079e-01  -6.422213e+00  -4.514242e+00   1.000000e+00
   11  -3.087153e-04  -1.084956e-02  -7.151857e-03   3.542658e-02  -2.888551e-02   1.000000e+00   7.029036e-01  -1.557075e-01
   12   1.982214e-03   6.966688e-02   4.593488e-02  -2.275139e-01   1.855128e-01  -6.422335e+00  -4.514263e+00   1.000000e+00
   13  -3.086140e-04  -1.084677e-02  -7.152576e-03   3.542494e-02  -2.888560e-02   1.000000e+00   7.028994e-01  -1.557062e-01
   14   1.981949e-03   6.965961e-02   4.593696e-02  -2.275103e-01   1.855137e-01  -6.422356e+00  -4.514267e+00   1.000000e+00
   15  -3.085963e-04  -1.084628e-02  -7.152701e-03   3.542466e-02  -2.888561e-02   1.000000e+00   7.028987e-01  -1.557060e-01
